PMID,Year,Journal_ISO,Title,DOI,PMC,Danbee_Position,Has_Abstract,Num_Authors
36397237,2022,Cancer Res Treat,"Effectiveness of Self-Assessment, TAilored Information, and Lifestyle Management for Cancer Patients' Returning to Work (START): A Multi-center, Randomized Controlled Trial.",10.4143/crt.2022.939,PMC10101798,first,yes,13
36008854,2022,BMC Cancer,"Changes in working status after cancer diagnosis and socio-demographic, clinical, work-related, and psychological factors associated with it.",10.1186/s12885-022-10013-8,PMC9404600,first,yes,11
35361864,2022,Sci Rep,Temporal patterns of chronic disease incidence after breast cancer: a nationwide population-based cohort study.,10.1038/s41598-022-09542-w,PMC8971484,first,yes,13
35209702,2022,Cancer Res Treat,Psychometric Validation of the Korean Version of the Cancer Survivors' Unmet Needs (CaSUN) Scale among Korean Non-Small Cell Lung Cancer Survivors.,10.4143/crt.2021.1583,PMC9873323,first,yes,14
35174421,2022,Support Care Cancer,Impact of objective financial burden and subjective financial distress on spiritual well-being and quality of life among working-age cancer survivors.,10.1007/s00520-022-06906-w,,first,yes,8
34907177,2021,Blood Cancer J,Risk of non-Hodgkin lymphoma in breast cancer survivors: a nationwide cohort study.,10.1038/s41408-021-00595-0,PMC8671407,first,yes,14
34795924,2021,J Thorac Dis,Psychometric validation of the Korean Patient-Reported Outcome Measurement Information System (PROMIS)-29 Profile V2.1 among patients with chronic pulmonary diseases.,10.21037/jtd-21-591,PMC8575797,first,yes,14
34728262,2021,J Am Acad Dermatol,Efficacy of a tailored moisturizer for reducing chemotherapy-induced skin dryness in breast cancer patients: A randomized controlled clinical trial.,10.1016/j.jaad.2021.10.047,,first,yes,11
34507971,2021,Cancer Prev Res (Phila),The Relationship Between Breast Density Change During Menopause and the Risk of Breast Cancer in Korean Women.,10.1158/1940-6207.CAPR-20-0542,,first,yes,24
34368886,2021,Support Care Cancer,Effect of mind and body education on quality of life among young breast cancer patients: a randomized controlled trial.,10.1007/s00520-021-06459-4,,first,yes,8
33848414,2021,Cancer Res Treat,Validation of the Korean Version of the Patient-Reported Outcomes Measurement Information System 29 Profile V2.1 among Cancer Survivors.,10.4143/crt.2020.1200,PMC8756127,first,yes,15
33299030,2020,Sci Rep,Author Correction: Perceived stress and non-alcoholic fatty liver disease in apparently healthy men and women.,10.1038/s41598-020-78911-0,PMC7726026,first,yes,9
33241506,2020,Support Care Cancer,Association between body image dissatisfaction and poor quality of life and depression among patients with hematopoietic stem cell transplantation.,10.1007/s00520-020-05884-1,,first,yes,9
32410403,2020,Korean J Radiol,Systematic Review of Studies Assessing the Health-Related Quality of Life of Hepatocellular Carcinoma Patients from 2009 to 2018.,10.3348/kjr.2019.0808,PMC7231617,first,yes,4
31913326,2020,Sci Rep,Perceived stress and non-alcoholic fatty liver disease in apparently healthy men and women.,10.1038/s41598-019-57036-z,PMC6949298,first,yes,9
31338640,2019,Support Care Cancer,"Impact of a topical lotion, CG428, on permanent chemotherapy-induced alopecia in breast cancer survivors: a pilot randomized double-blind controlled clinical trial (VOLUME RCT).",10.1007/s00520-019-04982-z,,first,yes,8
30120165,2018,Oncologist,Permanent Chemotherapy-Induced Alopecia in Patients with Breast Cancer: A 3-Year Prospective Cohort Study.,10.1634/theoncologist.2018-0184,PMC6519756,first,yes,14
29121713,2017,Cancer Res Treat,Health-Related Quality of Life in Non-Hodgkin Lymphoma Survivors: A Prospective Cohort Study.,10.4143/crt.2017.207,PMC6192930,first,yes,6
28262081,2017,Palliat Support Care,Distress and body image due to altered appearance in posttreatment and active treatment of breast cancer patients and in general population controls.,10.1017/S1478951517000062,,first,yes,9
28233366,2017,Psychooncology,"Who are happy survivors? Physical, psychosocial, and spiritual factors associated with happiness of breast cancer survivors during the transition from cancer patient to survivor.",10.1002/pon.4408,,first,yes,10
26198993,2015,Breast Cancer Res Treat,Quantitative changes in skin composition parameters due to chemotherapy in breast cancer patients: a cohort study.,10.1007/s10549-015-3502-4,,first,yes,12
